dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,2.500023,14.000000,0.000028,0.005694,0.569358,56.935818,0.000000
0.010000,2.500137,14.000000,0.000142,0.011387,0.569358,-0.000000,0.000000
0.010000,2.500394,14.000000,0.000399,0.025621,1.423395,85.403727,0.000000
0.010000,2.500849,14.000000,0.000854,0.045549,1.992754,56.935818,0.000000
0.010000,2.501561,14.000000,0.001566,0.071170,2.562112,56.935818,0.000000
0.010000,2.502586,14.000000,0.002591,0.102484,3.131470,56.935818,0.000000
0.010000,2.503981,14.000000,0.003986,0.139493,3.700828,56.935818,0.000000
0.010000,2.505774,14.000000,0.005779,0.179348,3.985507,28.467909,0.000000
0.010000,2.507966,14.000000,0.007971,0.219203,3.985507,-0.000000,0.000000
0.010000,2.510557,14.000000,0.010562,0.259058,3.985507,0.000000,0.000000
0.010000,2.513546,14.000000,0.013551,0.298913,3.985507,-0.000000,0.000000
0.010000,2.516933,14.000000,0.016938,0.338768,3.985507,0.000000,0.000000
0.010000,2.520720,14.000000,0.020725,0.378623,3.985507,-0.000000,0.000000
0.010000,2.524904,14.000000,0.024909,0.418478,3.985507,0.000000,0.000000
0.010000,2.529488,14.000000,0.029493,0.458333,3.985507,-0.000000,0.000000
0.010000,2.534470,14.000000,0.034475,0.498188,3.985507,0.000000,0.000000
0.010000,2.539850,14.000000,0.039855,0.538043,3.985507,-0.000000,0.000000
0.010000,2.545629,14.000000,0.045634,0.577899,3.985507,-0.000000,0.000000
0.010000,2.551807,14.000000,0.051812,0.617754,3.985507,0.000000,0.000000
0.010000,2.558383,14.000000,0.058388,0.657609,3.985507,-0.000000,0.000000
0.010000,2.565357,14.000000,0.065362,0.697464,3.985507,-0.000000,0.000000
0.010000,2.572731,14.000000,0.072736,0.737319,3.985507,-0.000000,0.000000
0.010000,2.580502,14.000000,0.080507,0.777174,3.985507,0.000000,0.000000
0.010000,2.588673,14.000000,0.088678,0.817029,3.985507,0.000000,0.000000
0.010000,2.597241,14.000000,0.097246,0.856884,3.985507,0.000000,0.000000
0.010000,2.606209,14.000000,0.106214,0.896739,3.985507,0.000000,0.000000
0.010000,2.615575,14.000000,0.115580,0.936594,3.985507,0.000000,0.000000
0.010000,2.625339,14.000000,0.125344,0.976449,3.985507,-0.000000,0.000000
0.010000,2.635502,14.000000,0.135507,1.016304,3.985507,0.000000,0.000000
0.010000,2.646064,14.000000,0.146069,1.056159,3.985507,0.000000,0.000000
0.010000,2.657024,14.000000,0.157029,1.096014,3.985507,-0.000000,0.000000
0.010000,2.668383,14.000000,0.168388,1.135870,3.985507,0.000000,0.000000
0.010000,2.680140,14.000000,0.180145,1.175725,3.985507,0.000000,0.000000
0.010000,2.692296,14.000000,0.192301,1.215580,3.985507,-0.000000,0.000000
0.010000,2.704850,14.000000,0.204855,1.255435,3.985507,0.000000,0.000000
0.010000,2.717803,14.000000,0.217808,1.295290,3.985507,0.000000,0.000000
0.010000,2.731154,14.000000,0.231159,1.335145,3.985507,0.000000,0.000000
0.010000,2.744904,14.000000,0.244909,1.375000,3.985507,-0.000000,0.000000
0.010000,2.759053,14.000000,0.259058,1.414855,3.985507,0.000000,0.000000
0.010000,2.773600,14.000000,0.273605,1.454710,3.985507,-0.000000,0.000000
0.010000,2.788546,14.000000,0.288551,1.494565,3.985507,-0.000000,0.000000
0.010000,2.803890,14.000000,0.303895,1.534420,3.985507,0.000000,0.000000
0.010000,2.819633,14.000000,0.319638,1.574275,3.985507,0.000000,0.000000
0.010000,2.835774,14.000000,0.335779,1.614130,3.985507,-0.000000,0.000000
0.010000,2.852314,14.000000,0.352319,1.653986,3.985507,0.000000,0.000000
0.010000,2.869252,14.000000,0.369257,1.693841,3.985507,0.000000,0.000000
0.010000,2.886589,14.000000,0.386594,1.733696,3.985507,-0.000000,0.000000
0.010000,2.904325,14.000000,0.404330,1.773551,3.985507,0.000000,0.000000
0.010000,2.922459,14.000000,0.422464,1.813406,3.985507,0.000000,0.000000
0.010000,2.940991,14.000000,0.440996,1.853261,3.985507,-0.000000,0.000000
0.010000,2.959923,14.000000,0.459928,1.893116,3.985507,0.000000,0.000000
0.010000,2.979252,14.000000,0.479257,1.932971,3.985507,-0.000000,0.000000
0.010000,2.998981,14.000000,0.498986,1.972826,3.985507,0.000000,0.000000
0.010000,3.014362,14.000033,0.514367,1.538183,-43.464314,-4744.982091,0.004623
0.010000,3.029819,14.000144,0.529824,1.545688,0.750466,4421.477950,0.009691
0.010000,3.045498,14.000337,0.545505,1.568030,2.234190,148.372391,0.014935
0.010000,3.061393,14.000617,0.561402,1.589785,2.175525,-5.866510,0.020360
0.010000,3.077498,14.000990,0.577512,1.610927,2.114178,-6.134699,0.025971
0.010000,3.093806,14.001461,0.593826,1.631427,2.050050,-6.412798,0.031777
0.010000,3.110308,14.002035,0.610338,1.651257,1.983026,-6.702333,0.037782
0.010000,3.126998,14.002717,0.627042,1.670387,1.913021,-7.000572,0.043995
0.010000,3.143867,14.003514,0.643930,1.688787,1.839913,-7.310725,0.050422
0.010000,3.160907,14.004431,0.660994,1.706423,1.763611,-7.630257,0.057072
0.010000,3.178108,14.005472,0.678227,1.723263,1.684030,-7.958055,0.063951
0.010000,3.195461,14.006646,0.695620,1.739274,1.601055,-8.297567,0.071069
0.010000,3.212956,14.007955,0.713164,1.754420,1.514628,-8.642630,0.078435
0.010000,3.230583,14.009408,0.730851,1.768667,1.424673,-8.995573,0.086056
0.010000,3.248331,14.011009,0.748670,1.781978,1.331125,-9.354710,0.093943
0.010000,3.266188,14.012765,0.766614,1.794318,1.233966,-9.715978,0.102104
0.010000,3.284143,14.014681,0.784670,1.805649,1.133155,-10.081026,0.110552
0.010000,3.302182,14.016763,0.802829,1.815936,1.028718,-10.443752,0.119294
0.010000,3.320294,14.019017,0.821081,1.825143,0.920694,-10.802418,0.128344
0.010000,3.338464,14.021448,0.839413,1.833235,0.809157,-11.153681,0.137710
0.010000,3.356680,14.024062,0.857815,1.840177,0.694238,-11.491866,0.147406
0.010000,3.374925,14.026864,0.876274,1.845938,0.576117,-11.812162,0.157443
0.010000,3.393186,14.029860,0.894779,1.850489,0.455024,-12.109280,0.167833
